Ville,Prix_Appartement_m2,Prix_Maison_m2,Loyer_Appartement_m2,Loyer_Maison_m2
Toulouse,3507,4077,15.1,12.7
Colomiers,2506,3335,13.8,12.2
Tournefeuille,3076,3298,14.0,12.2
Muret,2198,2832,12.5,14.1
Blagnac,3062,3912,14.3,12.5
Plaisance-du-Touch,2764,3373,13.7,15.3
Cugnaux,2541,3064,13.6,11.7
Balma,3553,3894,14.3,13.0
Ramonville-Saint-Agne,2960,3267,14.3,12.6
Castanet-Tolosan,3255,3201,13.6,16.2
Fonsorbes,2408,3075,13.2,13.8
L'Union,3100,3031,13.7,11.9
Saint-Orens-de-Gameville,3290,3083,14.2,12.2
Saint-Gaudens,1119,1568,10.1,10.9
Saint-Jean,3078,3005,14.0,15.5
Castelginest,2629,2971,13.1,13.8
Portet-sur-Garonne,2573,3142,14.0,13.7
Revel,1478,2223,10.9,11.0
Auterive,1828,2393,10.7,11.8
Saint-Lys,2248,2778,12.4,13.5
